,MALID,Name,Type,Episodes,Studio,Members,Score,Link
0,(38302,Boku no Tonari ni Ankoku Hakaishin ga Imasu.,TV,12,EMT Squared,56667,6.65,https://myanimelist.net/anime/38302/Boku_no_Tonari_ni_Ankoku_Hakaishin_ga_Imasu
1,(22145,Kuroshitsuji: Book of Circus,TV,10,A-1 Pictures,383887,8.07,https://myanimelist.net/anime/22145/Kuroshitsuji__Book_of_Circus
2,(14075,Zetsuen no Tempest,TV,24,Bones,577436,7.92,https://myanimelist.net/anime/14075/Zetsuen_no_Tempest
3,(37786,Yagate Kimi ni Naru,TV,13,TROYCA,316193,7.9,https://myanimelist.net/anime/37786/Yagate_Kimi_ni_Naru
4,(31478,Bungou Stray Dogs,TV,12,Bones,1280349,7.82,https://myanimelist.net/anime/31478/Bungou_Stray_Dogs
5,(37435,Carole & Tuesday,TV,24,Bones,312365,7.87,https://myanimelist.net/anime/37435/Carole___Tuesday
6,(1482,D.Gray-man,TV,103,TMS Entertainment,669219,8.02,https://myanimelist.net/anime/1482/DGray-man
7,(38668,Dorohedoro,TV,12,MAPPA,497821,8.06,https://myanimelist.net/anime/38668/Dorohedoro
8,(37520,Dororo,TV,24,Tezuka Productions,1128909,8.24,https://myanimelist.net/anime/37520/Dororo
9,(36884,Hisone to Maso-tan,TV,12,Bones,79757,7.31,https://myanimelist.net/anime/36884/Hisone_to_Maso-tan
10,(38671,Enen no Shouboutai,TV,24,David Production,1232020,7.71,https://myanimelist.net/anime/38671/Enen_no_Shouboutai
11,(28171,Shokugeki no Souma,TV,24,J.C.Staff,1571701,8.16,https://myanimelist.net/anime/28171/Shokugeki_no_Souma
12,(37975,Piano no Mori (TV) 2nd Season,TV,12,Gaina,47848,7.42,https://myanimelist.net/anime/37975/Piano_no_Mori_TV_2nd_Season
13,(38680,Fruits Basket 1st Season,TV,25,TMS Entertainment,759102,8.22,https://myanimelist.net/anime/38680/Fruits_Basket_1st_Season
14,(39533,Given,TV,11,Lerche,527089,8.33,https://myanimelist.net/anime/39533/Given
15,(2001,Tengen Toppa Gurren Lagann,TV,27,Gainax,1534447,8.63,https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann
16,(11061,Hunter x Hunter (2011),TV,148,Madhouse,2619223,9.04,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011
17,(249,InuYasha,TV,167,Sunrise,758249,7.86,https://myanimelist.net/anime/249/InuYasha
18,(8841,Kore wa Zombie desu ka?,TV,12,Studio Deen,608632,7.35,https://myanimelist.net/anime/8841/Kore_wa_Zombie_desu_ka
19,(31933,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,TV,39,David Production,1040067,8.5,https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai
20,(12413,Jormungand,TV,12,White Fox,343339,7.8,https://myanimelist.net/anime/12413/Jormungand
21,(5680,K-On!,TV,13,Kyoto Animation,1006656,7.85,https://myanimelist.net/anime/5680/K-On
22,(37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,TV,12,A-1 Pictures,1606631,8.41,https://myanimelist.net/anime/37999/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen
23,(37447,Karakuri Circus,TV,36,Studio VOLN,123640,7.14,https://myanimelist.net/anime/37447/Karakuri_Circus
24,(35079,Kino no Tabi: The Beautiful World - The Animated Series,TV,12,Lerche,194432,7.6,https://myanimelist.net/anime/35079/Kino_no_Tabi__The_Beautiful_World_-_The_Animated_Series
25,(33489,Little Witch Academia (TV),TV,25,Trigger,611713,7.81,https://myanimelist.net/anime/33489/Little_Witch_Academia_TV
26,(3572,Macross F,TV,25,Satelight,142878,7.89,https://myanimelist.net/anime/3572/Macross_F
27,(18115,Magi: The Kingdom of Magic,TV,25,A-1 Pictures,808249,8.22,https://myanimelist.net/anime/18115/Magi__The_Kingdom_of_Magic
28,(30016,Nanbaka,TV,13,Satelight,316999,7.33,https://myanimelist.net/anime/30016/Nanbaka
29,(30,Neon Genesis Evangelion,TV,26,Gainax,1695762,8.35,https://myanimelist.net/anime/30/Neon_Genesis_Evangelion
30,(10165,Nichijou,TV,26,Kyoto Animation,843792,8.46,https://myanimelist.net/anime/10165/Nichijou
31,(10721,Mawaru Penguindrum,TV,24,Brain's Base,290502,7.95,https://myanimelist.net/anime/10721/Mawaru_Penguindrum
32,(35330,Poputepipikku,TV,12,Kamikaze Douga,215614,7.28,https://myanimelist.net/anime/35330/Poputepipikku
33,(13601,Psycho-Pass,TV,22,Production I.G,1554477,8.34,https://myanimelist.net/anime/13601/Psycho-Pass
34,(440,Shoujo Kakumei Utena,TV,39,J.C.Staff,204881,8.19,https://myanimelist.net/anime/440/Shoujo_Kakumei_Utena
35,(1254,Saint Seiya,TV,114,Toei Animation,179408,7.75,https://myanimelist.net/anime/1254/Saint_Seiya
36,(34839,Sanrio Danshi,TV,12,Pierrot,57699,6.68,https://myanimelist.net/anime/34839/Sanrio_Danshi
37,(879,Simoun,TV,26,Studio Deen,41275,7.44,https://myanimelist.net/anime/879/Simoun
38,(36317,Gaikotsu Shotenin Honda-san,TV,12,DLE,111250,7.29,https://myanimelist.net/anime/36317/Gaikotsu_Shotenin_Honda-san
39,(23587,The iDOLM@STER Cinderella Girls,TV,13,A-1 Pictures,73275,7.16,https://myanimelist.net/anime/23587/The_iDOLMSTER_Cinderella_Girls
40,(34915,The iDOLM@STER SideM,TV,13,A-1 Pictures,20981,7.14,https://myanimelist.net/anime/34915/The_iDOLMSTER_SideM
41,(39534,Jibaku Shounen Hanako-kun,TV,12,Lerche,546373,7.85,https://myanimelist.net/anime/39534/Jibaku_Shounen_Hanako-kun
42,(10033,Toriko,TV,147,Toei Animation,123788,7.52,https://myanimelist.net/anime/10033/Toriko
43,(8426,Hourou Musuko,TV,11,AIC Classic,125524,7.7,https://myanimelist.net/anime/8426/Hourou_Musuko
44,(10460,Kimi to Boku.,TV,13,J.C.Staff,179404,7.66,https://myanimelist.net/anime/10460/Kimi_to_Boku
45,(3972,Yu☆Gi☆Oh! 5D's,TV,154,Gallop,134517,7.44,https://myanimelist.net/anime/3972/Yu%E2%98%86Gi%E2%98%86Oh_5Ds
46,(21639,Yu☆Gi☆Oh! Arc-V,TV,148,Gallop,61146,6.7,https://myanimelist.net/anime/21639/Yu%E2%98%86Gi%E2%98%86Oh_Arc-V
47,(26165,Yuri Kuma Arashi,TV,12,SILVER LINK.,98708,7.05,https://myanimelist.net/anime/26165/Yuri_Kuma_Arashi
48,(37976,Zombieland Saga,TV,12,MAPPA,465681,7.51,https://myanimelist.net/anime/37976/Zombieland_Saga
